repo,issue_pr_number,kind,title,expected_family,status,missing_condition,reasoning,strong_signal,paper_link,gold_confirmation,post_fix_commit,pre_fix_commit,candidate_paper,candidate_claim
google-research/albert,206,ISSUE,different parameter position with api doc,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,205,ISSUE,get Matthew_corr = 0 in eval on CoLA ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,203,PR,Modify default value of the max_seq_length at the stage of fine-tuning,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,202,ISSUE,Training without SOP Loss,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,doi,
google-research/albert,201,ISSUE,ValueError: Signature 'serving_default' is missing from meta graph.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,200,ISSUE,[question] Cross-layer parameter sharing,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,199,ISSUE,ModuleNotFoundError: No module named 'albert',C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,198,ISSUE,ALBERT-xxlarge V2 training on TPU V3-512 extremely slow,C5,REJECTED_NO_GOLD_CONFIRMATION,C,"protocol + paper, but no merged corrective PR / erratum / author confirmation recoverable",True,True,False,,,paper; reproduce,reproduc
google-research/albert,196,ISSUE,"tokenization.py - WordpieceTokenizer uses ""##"", but Sentencepiece voca",C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,195,PR,Fix instructions on running spm_train.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,194,ISSUE,GPU not used when fine-tuning on SQuAD 2.0,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,192,PR,fix an error on the max_seq_length. Here we should set it to 512 inste,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,191,PR,ALBERT GLUE fine-tuning colab tutorial.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,189,ISSUE,run_pretraining.py doesn't read all input files while training on desk,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,188,ISSUE,TPU training problem,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,187,PR,remove an info log from the tokenzier as it flushes the screen,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,186,PR,Fix error experiments on RACE because of no all.txt,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,185,PR,Fix running experiments on RACE (no all.txt),C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,183,PR,remove validate_case_matches_checkpoint from the finetuning scripts,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,180,ISSUE,Wrong configuration of albert xlarge,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,179,ISSUE,Pretraining iterations_per_loop and batch_size,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,177,ISSUE,Uneven sampling if number of tfrecords > cycle_length,C5,REJECTED_NO_GOLD_CONFIRMATION,C,"protocol + paper, but no merged corrective PR / erratum / author confirmation recoverable",True,True,False,,,figure; reproduce,reproduc
google-research/albert,275,PR,Made README.md more Readable,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,table,
google-research/albert,274,PR,Replace deprecated `tf.contrib.data.map_and_batch(...)` with `tf.data.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,272,PR,Bump tensorflow from 1.15.2 to 2.11.1,C5,REJECTED_NO_RECOVERABLE_PREFIX,D,gold confirmation present but pre-fix state not recoverable from §2 corpus (needs commit fetch),True,True,True,,,table,cherry
google-research/albert,271,PR,Bump tensorflow from 1.15.2 to 2.9.3,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,268,PR,tokenization: log spm usage only in debug mode to avoid console spammi,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,265,PR,Bump tensorflow from 1.15.2 to 2.7.2,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,263,PR,Bump tensorflow from 1.15.2 to 2.6.4,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,258,PR,Bump tensorflow from 1.15.2 to 2.5.3,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,False,,,,leak cherry
google-research/albert,252,PR,Minor bug fix,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,246,PR,Bump tensorflow from 1.15.2 to 2.5.1,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,True,,,,cherry
google-research/albert,245,PR,Bump tensorflow from 1.15.2 to 2.4.0,C5,REJECTED_NO_RECOVERABLE_PREFIX,D,gold confirmation present but pre-fix state not recoverable from §2 corpus (needs commit fetch),True,True,True,,,table,leak
google-research/albert,236,PR,Bump tensorflow from 1.15.2 to 2.3.1,C5,REJECTED_NO_RECOVERABLE_PREFIX,D,gold confirmation present but pre-fix state not recoverable from §2 corpus (needs commit fetch),True,True,True,,,table,leak
google-research/albert,231,PR,Bump tensorflow from 1.15.2 to 1.15.4,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,True,,,,leak
google-research/albert,223,PR,ensure str for the case of bytes type.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,222,PR,Add the ability to bake threshold into the exported SavedModel.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,209,PR,fix the attention mask description error and a cola evaluation calcula,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,203,PR,Modify default value of the max_seq_length at the stage of fine-tuning,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,195,PR,Fix instructions on running spm_train.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,192,PR,fix an error on the max_seq_length. Here we should set it to 512 inste,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,191,PR,ALBERT GLUE fine-tuning colab tutorial.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,187,PR,remove an info log from the tokenzier as it flushes the screen,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,186,PR,Fix error experiments on RACE because of no all.txt,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,185,PR,Fix running experiments on RACE (no all.txt),C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,183,PR,remove validate_case_matches_checkpoint from the finetuning scripts,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,176,PR,Add option to create_optimizer for colocate_gradients_with_ops,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,163,PR,create_pretraining_data with multiple files ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,160,PR,Support ALBERT squad_v1 for tflite.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,157,PR,Integration test.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,148,PR,More flag validation and documentation,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,147,PR,"Explicitly replace ""import tensorflow"" with ""tensorflow.compat.v1"" for",C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,143,PR,Fix date in the last update.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,139,PR,Bump tensorflow from 1.15 to 1.15.2,C5,REJECTED_NO_RECOVERABLE_PREFIX,D,gold confirmation present but pre-fix state not recoverable from §2 corpus (needs commit fetch),True,True,True,,,table; figure,reproduc
google-research/albert,134,PR,Fix the error in invoking preprocess_text(),C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,124,PR,Happy new year!,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,121,PR,Fix run_glue.sh script evaluation. See #120,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,True,,,,
google-research/albert,118,PR,Update tokenization.py,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,109,PR,Add a note to the readme about the fixed v2 TF-Hub modules.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,69,PR,Support for TF-Hub in fine-tuning scripts,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,48,PR,run_glue.sh script and documentation improvements,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,46,PR,Preventing estimator from deleting checkpoints,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,41,PR,Fix comments in requirements.txt,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,38,PR,Optimize how best checkpoint is preserved during evaluation. Instead o,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,33,PR,fix import error,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,32,PR,google_type_annotations not found error,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,26,PR,add support to ALBERT finetuning on SQUAD tasks with early stopping,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,False,,,,early stop
google-research/albert,16,PR,Fix typo in README,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,12,PR,Correction at line 398,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,True,,,,
google-research/albert,1,PR,Small comment on the integration test script.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2152,PR,Fix #2145: fix: add missing .sigmoid() in SigmoidBin inference path,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2150,PR,"feat(seg): DLA ONNX export, SPPCSPC_DLA, checker, and docs",C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2147,PR,fix: OTA target scaling uses height for both dimensions,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2146,PR,fix: remove hardcoded cuda:0 in OTA loss for multi-GPU support,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2145,PR,fix: add missing .sigmoid() in SigmoidBin inference path,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2143,ISSUE,"Trying to install pygame but get the messages below: ""Getting requirem",C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2141,PR,Bugfix: Device alocation under loss when training yolov7-w6,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2138,ISSUE,ONNX export for single-class YOLOv7: confidences not normalized (Friga,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2136,PR,fixed utils to handle pytorch > 2.6 which changed to default block un…,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2134,ISSUE,How to decode output results from EfficientNMS_TRT,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2133,ISSUE,test.py logs zero labels in test set when no predictions are successfu,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,False,,,,test set
WongKinYiu/yolov7,2131,ISSUE,Clarification on GPLv3 License When Using Quantized YOLOv7 Weights Wit,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2128,ISSUE,File runs\train\switch\weights\last.pt cannot be opened.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2125,ISSUE,"mAP, detect.py/ test.py  Inconsistency in number of images,labels,grou",C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2124,ISSUE,mAP different between YOLO and COCO,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2120,ISSUE,YOLOV7,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2119,ISSUE,WeightsUnpickler error in segment/predict.py,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2118,PR,fix:touch load required weight only false,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2117,PR,fix: torch.load requires weights_only,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2115,PR,Fix for torch 2.6,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2113,ISSUE,YOLOv7-Seg报错AttributeError:  list  object has no attribute  shape,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2112,ISSUE,Incremental Learning Coco Dataset,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
WongKinYiu/yolov7,2108,PR,Fixed import path issue in experimental.py,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
